summary,score
Philippines ,1
MIB,1
I was a property acquisition officer at Robinsons land Corporation,1
work in New York,1
yes,1
Taiwan,1
MBA,1
construction engineer,1
work in United States as construction engineer,1
yes,1
China,1
MIB,1
working in Bank,1
find a job,1
yes,1
America,1
MIB,1
I was a teacher for kindergarten through 3rd grade,1
next job in educational technology and environment I'll be working,1
yes,1
South Korea,1
MBA,1
product analytics manager,1
working in United States,1
yes,1
Venezuela,1
MIB ,1
work,1
work in San Francisco,1
yes,1
Republic of Korea ,1
MBA,1
work,1
get hired,1
yes,1
China,1
MIB,1
working as Bank,1
find a job,1
yes,1
Philippines ,1
MIB,1
worked in a marketing team,1
work in the US,1
yes,1
Indonesia ,1
MIB,1
work,1
work,1
yes,1
Italy,1
MIB,1
internship in Italy,1
start working in a consulting firm,1
yes,1
India,1
MIB,1
booking in India,1
I will work in US,1
yes,1
India,1
MBA,1
consultant,1
work in analytics,1
yes,1
China,1
MBA,1
working,1
go travelling,1
yes,1
Philippines,1
MBA,1
employed,1
find job,1
yes ,1
China,1
MIB,1
study,1
work,1
yes,1
China,1
MIB,1
vacation,1
start working,1
yes,1
Brazil,1
MIB,1
study,1
get a job,1
yes,1
India,1
MBA,1
marketing,1
marketing,1
yes,1
India,1
MIB,1
work in marketing,1
working in data analytics,1
yes,1
France,1
MIB,1
I was doing my undergrad,1
after graduation I plan on finding a job in the United States,1
yes,1
Honduras,1
MIB,1
work,1
find a job in the US,1
yes,1
Nigeria,1
MIB,1
work for a bank,1
find a job in the United States,1
yes,1
Turkey,1
MIB,1
student,1
get a job in the US,1
yes,1
Philippines,0
MIB,0
designer and Merchandising,0
go back to the Philippines and work,0
no,0
Denmark ,0
MIB,0
work in Consulting,0
buy boats,0
no,0
Thailand ,0
MIB ,0
I worked,0
work,0
no,0
Netherlands,0
MIB,0
degree in policy science,0
I am not working,0
no,0
Belgium,0
MIB,0
engineering,0
fintech,0
no,0
Dominican Republic,0
MIB,0
engineering,0
Tech Consulting,0
no,0
Hungary ,0
MIB ,0
studying,0
start working,0
no,0
Germany,0
MIB,0
an internship in India,0
business consultant at Deloitte,0
no,0
China,0
MIB,0
student,0
work,0
no,0
China,0
MIB,0
undergrad,0
go back to my country to find a job,0
no,0
